Instance,Makespan
"JobShopInstance(name=ABZ5_G.txt, num_jobs=10, num_machines=10)",2758
"JobShopInstance(name=ABZ5_Z.txt, num_jobs=10, num_machines=10)",2760
"JobShopInstance(name=ABZ6_G.txt, num_jobs=10, num_machines=10)",1552
"JobShopInstance(name=ABZ6_Z.txt, num_jobs=10, num_machines=10)",2032
"JobShopInstance(name=ABZ7_F.txt, num_jobs=20, num_machines=15)",2613
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",2353
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",2901
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",91
"JobShopInstance(name=FT06_G.txt, num_jobs=6, num_machines=6)",77
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",79
"JobShopInstance(name=FT06_T.txt, num_jobs=6, num_machines=6)",87
"JobShopInstance(name=FT10_F.txt, num_jobs=10, num_machines=10)",2830
"JobShopInstance(name=FT10_G.txt, num_jobs=10, num_machines=10)",2797
"JobShopInstance(name=FT10_S.txt, num_jobs=10, num_machines=10)",2807
"JobShopInstance(name=FT20_F.txt, num_jobs=20, num_machines=5)",1586
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",1569
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",1552
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",858
"JobShopInstance(name=LA01_L.txt, num_jobs=10, num_machines=5)",856
"JobShopInstance(name=LA02_S.txt, num_jobs=10, num_machines=5)",1113
"JobShopInstance(name=LA03_G.txt, num_jobs=10, num_machines=5)",800
"JobShopInstance(name=LA05_G.txt, num_jobs=10, num_machines=5)",1053
"JobShopInstance(name=LA06_L.txt, num_jobs=15, num_machines=5)",1018
"JobShopInstance(name=LA07_G.txt, num_jobs=15, num_machines=5)",1205
"JobShopInstance(name=LA09_G.txt, num_jobs=15, num_machines=5)",1237
"JobShopInstance(name=LA11_F.txt, num_jobs=20, num_machines=5)",1635
"JobShopInstance(name=LA12_F.txt, num_jobs=20, num_machines=5)",1310
"JobShopInstance(name=LA12_G.txt, num_jobs=20, num_machines=5)",1403
"JobShopInstance(name=LA13_F.txt, num_jobs=20, num_machines=5)",1343
